TeamID,Team,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season
1610612737,Atlanta Hawks,51,29,22,0.569,2478.0,0.516,0.241,0.161,0.265,0.491,0.239,0.162,0.299,2012-13
1610612738,Boston Celtics,52,28,24,0.538,2566.0,0.492,0.263,0.153,0.255,0.482,0.296,0.169,0.308,2012-13
1610612751,Brooklyn Nets,53,31,22,0.585,2574.0,0.489,0.306,0.162,0.338,0.502,0.235,0.149,0.303,2012-13
1610612766,Charlotte Bobcats,52,12,40,0.231,2521.0,0.455,0.316,0.151,0.311,0.516,0.261,0.149,0.328,2012-13
1610612741,Chicago Bulls,52,30,22,0.577,2516.0,0.468,0.271,0.162,0.344,0.467,0.268,0.153,0.312,2012-13
1610612739,Cleveland Cavaliers,53,16,37,0.302,2554.0,0.472,0.262,0.153,0.334,0.523,0.306,0.168,0.308,2012-13
1610612742,Dallas Mavericks,52,23,29,0.442,2546.0,0.496,0.261,0.146,0.262,0.492,0.308,0.153,0.3,2012-13
1610612743,Denver Nuggets,54,33,21,0.611,2627.0,0.51,0.303,0.16,0.349,0.494,0.266,0.161,0.325,2012-13
1610612765,Detroit Pistons,54,21,33,0.389,2617.0,0.483,0.287,0.163,0.336,0.486,0.274,0.145,0.306,2012-13
1610612744,Golden State Warriors,52,30,22,0.577,2516.0,0.503,0.258,0.158,0.289,0.487,0.287,0.138,0.298,2012-13
1610612745,Houston Rockets,55,29,26,0.527,2655.0,0.523,0.304,0.167,0.301,0.506,0.256,0.151,0.284,2012-13
1610612754,Indiana Pacers,53,32,21,0.604,2574.0,0.47,0.273,0.163,0.337,0.448,0.252,0.148,0.304,2012-13
1610612746,Los Angeles Clippers,56,39,17,0.696,2693.0,0.519,0.294,0.16,0.324,0.485,0.303,0.18,0.309,2012-13
1610612747,Los Angeles Lakers,54,25,29,0.463,2597.0,0.509,0.334,0.161,0.316,0.494,0.235,0.139,0.304,2012-13
1610612763,Memphis Grizzlies,51,33,18,0.647,2468.0,0.468,0.247,0.163,0.359,0.484,0.27,0.177,0.297,2012-13
1610612748,Miami Heat,50,36,14,0.72,2430.0,0.545,0.291,0.144,0.265,0.489,0.28,0.164,0.319,2012-13
1610612749,Milwaukee Bucks,51,26,25,0.51,2458.0,0.469,0.248,0.15,0.322,0.482,0.274,0.171,0.332,2012-13
1610612750,Minnesota Timberwolves,50,19,31,0.38,2405.0,0.47,0.312,0.164,0.337,0.504,0.25,0.161,0.293,2012-13
1610612740,New Orleans Hornets,53,19,34,0.358,2564.0,0.496,0.241,0.161,0.312,0.511,0.279,0.15,0.297,2012-13
1610612752,New York Knicks,50,32,18,0.64,2405.0,0.512,0.254,0.127,0.293,0.507,0.266,0.164,0.288,2012-13
1610612760,Oklahoma City Thunder,53,39,14,0.736,2569.0,0.529,0.341,0.163,0.286,0.474,0.255,0.158,0.301,2012-13
1610612753,Orlando Magic,52,15,37,0.288,2511.0,0.491,0.188,0.158,0.29,0.501,0.245,0.13,0.289,2012-13
1610612755,Philadelphia 76ers,51,22,29,0.431,2463.0,0.479,0.196,0.141,0.288,0.488,0.273,0.156,0.301,2012-13
1610612756,Phoenix Suns,53,17,36,0.321,2559.0,0.476,0.232,0.156,0.3,0.508,0.265,0.158,0.316,2012-13
1610612757,Portland Trail Blazers,53,25,28,0.472,2579.0,0.491,0.255,0.162,0.304,0.507,0.248,0.146,0.301,2012-13
1610612758,Sacramento Kings,54,19,35,0.352,2612.0,0.478,0.278,0.159,0.312,0.515,0.292,0.161,0.341,2012-13
