Team,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,W_15,L_15,WIN%_15,OFFRTG,DEFRTG,NETRTG,W_Post,WIN%_Post
Atlanta Hawks,51,29,22,0.569,2478.0,0.516,0.241,0.161,0.265,0.491,0.239,0.162,0.299,2012-13,15,8,7,0.533,103.8,103.8,0.0,15,0.484
Boston Celtics,52,28,24,0.538,2566.0,0.492,0.263,0.153,0.255,0.482,0.296,0.169,0.308,2012-13,16,9,7,0.563,99.8,97.9,1.9,13,0.448
Brooklyn Nets,53,31,22,0.585,2574.0,0.489,0.306,0.162,0.338,0.502,0.235,0.149,0.303,2012-13,17,10,7,0.588,103.1,105.9,-2.7,18,0.621
Charlotte Bobcats,52,12,40,0.231,2521.0,0.455,0.316,0.151,0.311,0.516,0.261,0.149,0.328,2012-13,16,3,13,0.188,97.6,109.5,-11.8,9,0.3
Chicago Bulls,52,30,22,0.577,2516.0,0.468,0.271,0.162,0.344,0.467,0.268,0.153,0.312,2012-13,17,10,7,0.588,102.8,99.9,2.9,15,0.5
Cleveland Cavaliers,53,16,37,0.302,2554.0,0.472,0.262,0.153,0.334,0.523,0.306,0.168,0.308,2012-13,15,7,8,0.467,108.2,110.4,-2.1,8,0.276
Dallas Mavericks,52,23,29,0.442,2546.0,0.496,0.261,0.146,0.262,0.492,0.308,0.153,0.3,2012-13,14,8,6,0.571,108.8,103.9,4.9,18,0.6
Denver Nuggets,54,33,21,0.611,2627.0,0.51,0.303,0.16,0.349,0.494,0.266,0.161,0.325,2012-13,16,11,5,0.688,112.0,106.7,5.2,24,0.857
Detroit Pistons,54,21,33,0.389,2617.0,0.483,0.287,0.163,0.336,0.486,0.274,0.145,0.306,2012-13,16,7,9,0.438,102.4,105.6,-3.2,8,0.286
Golden State Warriors,52,30,22,0.577,2516.0,0.503,0.258,0.158,0.289,0.487,0.287,0.138,0.298,2012-13,17,7,10,0.412,104.6,109.8,-5.2,17,0.567
Houston Rockets,55,29,26,0.527,2655.0,0.523,0.304,0.167,0.301,0.506,0.256,0.151,0.284,2012-13,17,8,9,0.471,112.7,108.1,4.6,16,0.593
Indiana Pacers,53,32,21,0.604,2574.0,0.47,0.273,0.163,0.337,0.448,0.252,0.148,0.304,2012-13,16,9,7,0.563,105.7,100.3,5.3,17,0.607
Los Angeles Clippers,56,39,17,0.696,2693.0,0.519,0.294,0.16,0.324,0.485,0.303,0.18,0.309,2012-13,19,11,8,0.579,107.2,103.5,3.7,17,0.654
Los Angeles Lakers,54,25,29,0.463,2597.0,0.509,0.334,0.161,0.316,0.494,0.235,0.139,0.304,2012-13,18,10,8,0.556,104.4,104.7,-0.3,20,0.714
Memphis Grizzlies,51,33,18,0.647,2468.0,0.468,0.247,0.163,0.359,0.484,0.27,0.177,0.297,2012-13,16,9,7,0.563,101.7,101.1,0.6,23,0.742
Miami Heat,50,36,14,0.72,2430.0,0.545,0.291,0.144,0.265,0.489,0.28,0.164,0.319,2012-13,15,12,3,0.8,114.2,104.4,9.7,30,0.938
Milwaukee Bucks,51,26,25,0.51,2458.0,0.469,0.248,0.15,0.322,0.482,0.274,0.171,0.332,2012-13,16,8,8,0.5,103.7,104.5,-0.8,12,0.387
Minnesota Timberwolves,50,19,31,0.38,2405.0,0.47,0.312,0.164,0.337,0.504,0.25,0.161,0.293,2012-13,17,3,14,0.176,101.6,106.4,-4.8,12,0.375
New Orleans Hornets,53,19,34,0.358,2564.0,0.496,0.241,0.161,0.312,0.511,0.279,0.15,0.297,2012-13,17,8,9,0.471,107.4,106.6,0.8,8,0.276
New York Knicks,50,32,18,0.64,2405.0,0.512,0.254,0.127,0.293,0.507,0.266,0.164,0.288,2012-13,14,9,5,0.643,108.7,103.8,4.9,22,0.688
Oklahoma City Thunder,53,39,14,0.736,2569.0,0.529,0.341,0.163,0.286,0.474,0.255,0.158,0.301,2012-13,17,11,6,0.647,109.4,101.3,8.1,21,0.724
Orlando Magic,52,15,37,0.288,2511.0,0.491,0.188,0.158,0.29,0.501,0.245,0.13,0.289,2012-13,16,2,14,0.125,99.7,111.0,-11.3,5,0.167
Philadelphia 76ers,51,22,29,0.431,2463.0,0.479,0.196,0.141,0.288,0.488,0.273,0.156,0.301,2012-13,13,6,7,0.462,100.3,100.1,0.3,12,0.387
Phoenix Suns,53,17,36,0.321,2559.0,0.476,0.232,0.156,0.3,0.508,0.265,0.158,0.316,2012-13,14,4,10,0.286,96.7,105.6,-8.9,8,0.276
Portland Trail Blazers,53,25,28,0.472,2579.0,0.491,0.255,0.162,0.304,0.507,0.248,0.146,0.301,2012-13,17,5,12,0.294,103.2,108.9,-5.7,8,0.276
Sacramento Kings,54,19,35,0.352,2612.0,0.478,0.278,0.159,0.312,0.515,0.292,0.161,0.341,2012-13,17,6,11,0.353,101.5,110.0,-8.5,9,0.321
San Antonio Spurs,54,42,12,0.778,2617.0,0.54,0.255,0.152,0.239,0.476,0.234,0.157,0.291,2012-13,15,14,1,0.933,109.5,99.1,10.4,16,0.571
Toronto Raptors,53,21,32,0.396,2594.0,0.489,0.269,0.141,0.295,0.501,0.333,0.157,0.322,2012-13,17,7,10,0.412,108.2,108.7,-0.5,13,0.448
Utah Jazz,54,30,24,0.556,2617.0,0.489,0.294,0.16,0.334,0.5,0.297,0.158,0.317,2012-13,15,10,5,0.667,105.8,106.6,-0.7,13,0.464
Washington Wizards,51,15,36,0.294,2483.0,0.467,0.239,0.163,0.272,0.478,0.276,0.154,0.3,2012-13,17,9,8,0.529,101.2,97.3,3.9,14,0.452
Atlanta Hawks,51,25,26,0.49,2473.0,0.515,0.258,0.159,0.262,0.505,0.246,0.162,0.292,2013-14,14,5,9,0.357,105.2,107.6,-2.4,13,0.419
Boston Celtics,54,19,35,0.352,2597.0,0.476,0.25,0.164,0.305,0.49,0.301,0.151,0.297,2013-14,16,6,10,0.375,100.0,102.8,-2.8,6,0.214
Brooklyn Nets,51,24,27,0.471,2473.0,0.502,0.314,0.156,0.265,0.505,0.317,0.166,0.311,2013-14,14,9,5,0.643,106.6,103.5,3.1,20,0.645
Charlotte Bobcats,53,23,30,0.434,2564.0,0.472,0.302,0.135,0.259,0.491,0.241,0.146,0.273,2013-14,15,8,7,0.533,104.5,103.7,0.8,20,0.69
Chicago Bulls,52,27,25,0.519,2536.0,0.462,0.287,0.17,0.329,0.474,0.241,0.159,0.287,2013-14,17,10,7,0.588,100.3,100.6,-0.3,21,0.7
Cleveland Cavaliers,53,20,33,0.377,2589.0,0.466,0.265,0.152,0.32,0.511,0.269,0.152,0.294,2013-14,17,7,10,0.412,104.6,111.8,-7.1,13,0.448
Dallas Mavericks,54,32,22,0.593,2597.0,0.522,0.255,0.14,0.263,0.511,0.314,0.168,0.304,2013-14,16,10,6,0.625,112.7,108.8,3.9,17,0.607
Denver Nuggets,51,24,27,0.471,2448.0,0.497,0.305,0.159,0.314,0.492,0.297,0.14,0.307,2013-14,15,5,10,0.333,104.2,112.7,-8.5,12,0.387
Detroit Pistons,52,22,30,0.423,2511.0,0.484,0.302,0.161,0.35,0.516,0.286,0.17,0.306,2013-14,14,6,8,0.429,106.7,105.4,1.3,7,0.233
Golden State Warriors,53,31,22,0.585,2559.0,0.514,0.259,0.164,0.295,0.477,0.295,0.155,0.267,2013-14,14,6,8,0.429,106.6,103.0,3.6,20,0.69
Houston Rockets,53,36,17,0.679,2559.0,0.532,0.397,0.167,0.299,0.481,0.252,0.144,0.309,2013-14,15,12,3,0.8,109.5,103.6,5.9,18,0.621
Indiana Pacers,52,40,12,0.769,2511.0,0.496,0.288,0.163,0.302,0.447,0.254,0.153,0.275,2013-14,16,11,5,0.688,105.6,98.5,7.2,16,0.533
Los Angeles Clippers,55,37,18,0.673,2655.0,0.523,0.362,0.144,0.286,0.484,0.298,0.158,0.31,2013-14,16,11,5,0.688,116.2,108.0,8.2,20,0.741
Los Angeles Lakers,53,18,35,0.34,2549.0,0.497,0.268,0.155,0.244,0.496,0.266,0.135,0.322,2013-14,16,4,12,0.25,104.2,107.7,-3.5,9,0.31
Memphis Grizzlies,52,29,23,0.558,2516.0,0.485,0.246,0.149,0.324,0.496,0.267,0.155,0.282,2013-14,17,13,4,0.765,101.7,98.4,3.3,21,0.7
Miami Heat,51,37,14,0.725,2473.0,0.56,0.313,0.16,0.234,0.516,0.299,0.183,0.311,2013-14,14,10,4,0.714,111.1,108.8,2.3,17,0.548
Milwaukee Bucks,52,9,43,0.173,2531.0,0.466,0.243,0.165,0.296,0.509,0.296,0.155,0.325,2013-14,16,2,14,0.125,100.0,112.1,-12.1,6,0.2
Minnesota Timberwolves,53,25,28,0.472,2554.0,0.479,0.307,0.14,0.325,0.513,0.223,0.167,0.271,2013-14,17,7,10,0.412,104.8,104.5,0.4,15,0.517
New Orleans Pelicans,52,23,29,0.442,2516.0,0.492,0.272,0.147,0.316,0.51,0.331,0.155,0.309,2013-14,16,8,8,0.5,104.4,105.7,-1.4,11,0.367
New York Knicks,52,20,32,0.385,2521.0,0.498,0.238,0.141,0.29,0.514,0.329,0.162,0.288,2013-14,16,6,10,0.375,108.5,108.8,-0.4,17,0.567
Oklahoma City Thunder,55,43,12,0.782,2650.0,0.52,0.293,0.163,0.3,0.478,0.286,0.156,0.281,2013-14,18,15,3,0.833,111.3,103.4,7.9,16,0.593
Orlando Magic,54,16,38,0.296,2627.0,0.483,0.262,0.155,0.26,0.5,0.255,0.145,0.285,2013-14,17,6,11,0.353,101.7,106.9,-5.2,7,0.25
Philadelphia 76ers,54,15,39,0.278,2627.0,0.474,0.263,0.171,0.293,0.518,0.302,0.164,0.31,2013-14,17,3,14,0.176,94.5,107.7,-13.2,4,0.143
Phoenix Suns,51,30,21,0.588,2458.0,0.515,0.284,0.156,0.302,0.489,0.312,0.159,0.308,2013-14,15,9,6,0.6,111.5,107.3,4.2,18,0.581
Portland Trail Blazers,53,36,17,0.679,2564.0,0.505,0.264,0.142,0.332,0.494,0.256,0.123,0.285,2013-14,16,8,8,0.5,108.9,109.2,-0.3,18,0.621
Sacramento Kings,53,18,35,0.34,2569.0,0.487,0.315,0.156,0.313,0.514,0.315,0.148,0.29,2013-14,19,6,13,0.316,106.5,107.2,-0.6,10,0.345
San Antonio Spurs,53,38,15,0.717,2559.0,0.539,0.24,0.154,0.253,0.485,0.231,0.148,0.283,2013-14,17,10,7,0.588,107.7,104.7,2.9,24,0.828
Toronto Raptors,52,28,24,0.538,2521.0,0.488,0.298,0.149,0.316,0.49,0.302,0.164,0.298,2013-14,17,10,7,0.588,109.4,105.9,3.6,20,0.667
Utah Jazz,52,19,33,0.365,2506.0,0.48,0.268,0.158,0.3,0.503,0.3,0.135,0.296,2013-14,14,7,7,0.5,104.1,106.3,-2.2,6,0.2
Washington Wizards,52,25,27,0.481,2541.0,0.496,0.252,0.154,0.282,0.507,0.293,0.171,0.279,2013-14,17,9,8,0.529,104.5,101.4,3.1,19,0.633
Atlanta Hawks,54,43,11,0.796,2602.0,0.532,0.279,0.148,0.258,0.485,0.244,0.163,0.302,2014-15,18,15,3,0.833,112.1,102.0,10.1,17,0.607
Boston Celtics,51,20,31,0.392,2473.0,0.489,0.226,0.146,0.291,0.494,0.272,0.148,0.29,2014-15,16,8,8,0.5,102.7,104.4,-1.7,20,0.645
Brooklyn Nets,52,21,31,0.404,2526.0,0.487,0.27,0.154,0.277,0.502,0.268,0.146,0.298,2014-15,15,5,10,0.333,102.4,111.6,-9.2,17,0.567
Charlotte Hornets,52,22,30,0.423,2531.0,0.456,0.277,0.125,0.277,0.487,0.245,0.136,0.251,2014-15,13,7,6,0.538,94.7,96.6,-1.9,11,0.367
Chicago Bulls,54,34,20,0.63,2627.0,0.491,0.312,0.147,0.318,0.476,0.24,0.132,0.297,2014-15,16,8,8,0.5,108.2,105.3,2.9,16,0.571
Cleveland Cavaliers,55,33,22,0.6,2645.0,0.511,0.295,0.15,0.315,0.504,0.237,0.142,0.299,2014-15,18,14,4,0.778,113.8,105.3,8.4,20,0.741
Dallas Mavericks,55,36,19,0.655,2670.0,0.521,0.257,0.128,0.278,0.498,0.271,0.168,0.326,2014-15,17,10,7,0.588,105.8,102.0,3.8,14,0.519
Denver Nuggets,53,20,33,0.377,2564.0,0.477,0.288,0.145,0.301,0.497,0.317,0.137,0.296,2014-15,16,3,13,0.188,99.9,108.2,-8.4,10,0.345
Detroit Pistons,54,21,33,0.389,2607.0,0.479,0.269,0.144,0.315,0.507,0.243,0.149,0.283,2014-15,17,8,9,0.471,107.0,107.0,-0.1,11,0.393
Golden State Warriors,51,42,9,0.824,2458.0,0.54,0.246,0.148,0.27,0.464,0.283,0.165,0.302,2014-15,17,13,4,0.765,112.2,101.5,10.7,25,0.806
Houston Rockets,53,36,17,0.679,2564.0,0.51,0.294,0.173,0.312,0.487,0.292,0.171,0.312,2014-15,16,10,6,0.625,108.0,107.5,0.5,20,0.69
Indiana Pacers,54,21,33,0.389,2612.0,0.477,0.257,0.153,0.296,0.486,0.283,0.135,0.257,2014-15,15,6,9,0.4,103.0,104.8,-1.9,17,0.607
Los Angeles Clippers,54,35,19,0.648,2597.0,0.53,0.303,0.126,0.272,0.504,0.311,0.151,0.285,2014-15,17,10,7,0.588,112.4,108.3,4.1,21,0.75
Los Angeles Lakers,53,13,40,0.245,2579.0,0.471,0.28,0.135,0.291,0.521,0.3,0.141,0.292,2014-15,16,1,15,0.063,97.5,107.5,-10.0,8,0.276
Memphis Grizzlies,53,39,14,0.736,2589.0,0.492,0.286,0.137,0.293,0.491,0.251,0.164,0.283,2014-15,17,14,3,0.824,104.5,96.5,8.0,16,0.552
Miami Heat,52,22,30,0.423,2496.0,0.501,0.309,0.161,0.275,0.51,0.284,0.16,0.317,2014-15,16,7,9,0.438,99.9,102.7,-2.8,15,0.5
Milwaukee Bucks,53,30,23,0.566,2574.0,0.51,0.255,0.173,0.282,0.483,0.302,0.178,0.322,2014-15,14,10,4,0.714,105.9,100.0,5.9,11,0.379
Minnesota Timberwolves,53,11,42,0.208,2554.0,0.467,0.295,0.157,0.322,0.541,0.251,0.161,0.305,2014-15,17,6,11,0.353,102.3,108.4,-6.0,5,0.172
New Orleans Pelicans,53,27,26,0.509,2554.0,0.493,0.267,0.14,0.32,0.503,0.261,0.134,0.284,2014-15,17,9,8,0.529,107.1,107.9,-0.8,18,0.621
New York Knicks,53,10,43,0.189,2559.0,0.481,0.216,0.156,0.293,0.516,0.316,0.157,0.314,2014-15,13,5,8,0.385,100.4,104.9,-4.5,7,0.241
Oklahoma City Thunder,53,28,25,0.528,2564.0,0.488,0.281,0.154,0.305,0.477,0.279,0.145,0.278,2014-15,16,10,6,0.625,107.5,103.1,4.3,17,0.586
Orlando Magic,56,17,39,0.304,2698.0,0.498,0.239,0.158,0.25,0.514,0.286,0.147,0.277,2014-15,16,4,12,0.25,103.4,109.8,-6.4,8,0.308
Philadelphia 76ers,53,12,41,0.226,2554.0,0.456,0.3,0.193,0.284,0.5,0.292,0.177,0.317,2014-15,17,5,12,0.294,93.5,100.6,-7.0,6,0.207
Phoenix Suns,54,29,25,0.537,2622.0,0.516,0.248,0.151,0.28,0.5,0.31,0.163,0.313,2014-15,15,7,8,0.467,104.2,106.2,-2.0,10,0.357
Portland Trail Blazers,53,36,17,0.679,2574.0,0.503,0.231,0.143,0.284,0.467,0.247,0.134,0.276,2014-15,16,7,9,0.438,103.8,103.3,0.5,15,0.517
Sacramento Kings,52,18,34,0.346,2526.0,0.483,0.367,0.169,0.314,0.5,0.278,0.128,0.274,2014-15,16,3,13,0.188,98.6,107.7,-9.1,11,0.367
San Antonio Spurs,53,34,19,0.642,2589.0,0.505,0.258,0.149,0.274,0.482,0.255,0.147,0.272,2014-15,15,11,4,0.733,103.6,99.1,4.5,21,0.724
Toronto Raptors,53,36,17,0.679,2574.0,0.51,0.304,0.136,0.312,0.504,0.293,0.157,0.311,2014-15,17,11,6,0.647,107.3,104.8,2.5,13,0.448
Utah Jazz,53,19,34,0.358,2544.0,0.495,0.286,0.166,0.332,0.506,0.261,0.136,0.29,2014-15,15,6,9,0.4,104.5,105.6,-1.1,19,0.655
Washington Wizards,54,33,21,0.611,2622.0,0.508,0.265,0.157,0.291,0.482,0.288,0.147,0.267,2014-15,18,8,10,0.444,103.5,102.0,1.4,13,0.464
Atlanta Hawks,55,31,24,0.564,2650.0,0.516,0.242,0.154,0.242,0.488,0.253,0.171,0.307,2015-16,17,8,9,0.471,101.8,98.0,3.8,17,0.63
