TeamID,Team,GP,W,L,WIN%,Season
1610612737,Atlanta Hawks,31,15,16,0.484,2012-13
1610612738,Boston Celtics,29,13,16,0.448,2012-13
1610612751,Brooklyn Nets,29,18,11,0.621,2012-13
1610612766,Charlotte Bobcats,30,9,21,0.3,2012-13
1610612741,Chicago Bulls,30,15,15,0.5,2012-13
1610612739,Cleveland Cavaliers,29,8,21,0.276,2012-13
1610612742,Dallas Mavericks,30,18,12,0.6,2012-13
1610612743,Denver Nuggets,28,24,4,0.857,2012-13
1610612765,Detroit Pistons,28,8,20,0.286,2012-13
1610612744,Golden State Warriors,30,17,13,0.567,2012-13
1610612745,Houston Rockets,27,16,11,0.593,2012-13
1610612754,Indiana Pacers,28,17,11,0.607,2012-13
1610612746,Los Angeles Clippers,26,17,9,0.654,2012-13
1610612747,Los Angeles Lakers,28,20,8,0.714,2012-13
1610612763,Memphis Grizzlies,31,23,8,0.742,2012-13
1610612748,Miami Heat,32,30,2,0.938,2012-13
1610612749,Milwaukee Bucks,31,12,19,0.387,2012-13
1610612750,Minnesota Timberwolves,32,12,20,0.375,2012-13
1610612740,New Orleans Hornets,29,8,21,0.276,2012-13
1610612752,New York Knicks,32,22,10,0.688,2012-13
1610612760,Oklahoma City Thunder,29,21,8,0.724,2012-13
1610612753,Orlando Magic,30,5,25,0.167,2012-13
1610612755,Philadelphia 76ers,31,12,19,0.387,2012-13
1610612756,Phoenix Suns,29,8,21,0.276,2012-13
1610612757,Portland Trail Blazers,29,8,21,0.276,2012-13
1610612758,Sacramento Kings,28,9,19,0.321,2012-13
1610612759,San Antonio Spurs,28,16,12,0.571,2012-13
1610612761,Toronto Raptors,29,13,16,0.448,2012-13
1610612762,Utah Jazz,28,13,15,0.464,2012-13
1610612764,Washington Wizards,31,14,17,0.452,2012-13
1610612737,Atlanta Hawks,31,13,18,0.419,2013-14
1610612738,Boston Celtics,28,6,22,0.214,2013-14
1610612751,Brooklyn Nets,31,20,11,0.645,2013-14
1610612766,Charlotte Bobcats,29,20,9,0.69,2013-14
1610612741,Chicago Bulls,30,21,9,0.7,2013-14
1610612739,Cleveland Cavaliers,29,13,16,0.448,2013-14
1610612742,Dallas Mavericks,28,17,11,0.607,2013-14
1610612743,Denver Nuggets,31,12,19,0.387,2013-14
1610612765,Detroit Pistons,30,7,23,0.233,2013-14
1610612744,Golden State Warriors,29,20,9,0.69,2013-14
1610612745,Houston Rockets,29,18,11,0.621,2013-14
1610612754,Indiana Pacers,30,16,14,0.533,2013-14
1610612746,Los Angeles Clippers,27,20,7,0.741,2013-14
1610612747,Los Angeles Lakers,29,9,20,0.31,2013-14
1610612763,Memphis Grizzlies,30,21,9,0.7,2013-14
1610612748,Miami Heat,31,17,14,0.548,2013-14
1610612749,Milwaukee Bucks,30,6,24,0.2,2013-14
1610612750,Minnesota Timberwolves,29,15,14,0.517,2013-14
1610612740,New Orleans Pelicans,30,11,19,0.367,2013-14
1610612752,New York Knicks,30,17,13,0.567,2013-14
1610612760,Oklahoma City Thunder,27,16,11,0.593,2013-14
1610612753,Orlando Magic,28,7,21,0.25,2013-14
1610612755,Philadelphia 76ers,28,4,24,0.143,2013-14
1610612756,Phoenix Suns,31,18,13,0.581,2013-14
1610612757,Portland Trail Blazers,29,18,11,0.621,2013-14
1610612758,Sacramento Kings,29,10,19,0.345,2013-14
1610612759,San Antonio Spurs,29,24,5,0.828,2013-14
1610612761,Toronto Raptors,30,20,10,0.667,2013-14
1610612762,Utah Jazz,30,6,24,0.2,2013-14
1610612764,Washington Wizards,30,19,11,0.633,2013-14
1610612737,Atlanta Hawks,28,17,11,0.607,2014-15
1610612738,Boston Celtics,31,20,11,0.645,2014-15
1610612751,Brooklyn Nets,30,17,13,0.567,2014-15
1610612766,Charlotte Hornets,30,11,19,0.367,2014-15
1610612741,Chicago Bulls,28,16,12,0.571,2014-15
1610612739,Cleveland Cavaliers,27,20,7,0.741,2014-15
1610612742,Dallas Mavericks,27,14,13,0.519,2014-15
1610612743,Denver Nuggets,29,10,19,0.345,2014-15
1610612765,Detroit Pistons,28,11,17,0.393,2014-15
1610612744,Golden State Warriors,31,25,6,0.806,2014-15
1610612745,Houston Rockets,29,20,9,0.69,2014-15
1610612754,Indiana Pacers,28,17,11,0.607,2014-15
1610612746,Los Angeles Clippers,28,21,7,0.75,2014-15
1610612747,Los Angeles Lakers,29,8,21,0.276,2014-15
1610612763,Memphis Grizzlies,29,16,13,0.552,2014-15
1610612748,Miami Heat,30,15,15,0.5,2014-15
1610612749,Milwaukee Bucks,29,11,18,0.379,2014-15
1610612750,Minnesota Timberwolves,29,5,24,0.172,2014-15
1610612740,New Orleans Pelicans,29,18,11,0.621,2014-15
1610612752,New York Knicks,29,7,22,0.241,2014-15
1610612760,Oklahoma City Thunder,29,17,12,0.586,2014-15
1610612753,Orlando Magic,26,8,18,0.308,2014-15
1610612755,Philadelphia 76ers,29,6,23,0.207,2014-15
1610612756,Phoenix Suns,28,10,18,0.357,2014-15
1610612757,Portland Trail Blazers,29,15,14,0.517,2014-15
1610612758,Sacramento Kings,30,11,19,0.367,2014-15
1610612759,San Antonio Spurs,29,21,8,0.724,2014-15
1610612761,Toronto Raptors,29,13,16,0.448,2014-15
1610612762,Utah Jazz,29,19,10,0.655,2014-15
1610612764,Washington Wizards,28,13,15,0.464,2014-15
1610612737,Atlanta Hawks,27,17,10,0.63,2015-16
1610612738,Boston Celtics,27,16,11,0.593,2015-16
1610612751,Brooklyn Nets,28,7,21,0.25,2015-16
1610612766,Charlotte Hornets,29,21,8,0.724,2015-16
1610612741,Chicago Bulls,30,15,15,0.5,2015-16
1610612739,Cleveland Cavaliers,30,19,11,0.633,2015-16
1610612742,Dallas Mavericks,27,13,14,0.481,2015-16
1610612743,Denver Nuggets,28,11,17,0.393,2015-16
1610612765,Detroit Pistons,28,17,11,0.607,2015-16
1610612744,Golden State Warriors,30,25,5,0.833,2015-16
1610612745,Houston Rockets,27,14,13,0.519,2015-16
1610612754,Indiana Pacers,29,17,12,0.586,2015-16
1610612746,LA Clippers,29,18,11,0.621,2015-16
1610612747,Los Angeles Lakers,27,6,21,0.222,2015-16
1610612763,Memphis Grizzlies,29,11,18,0.379,2015-16
1610612748,Miami Heat,29,19,10,0.655,2015-16
1610612749,Milwaukee Bucks,28,11,17,0.393,2015-16
1610612750,Minnesota Timberwolves,28,12,16,0.429,2015-16
1610612740,New Orleans Pelicans,29,10,19,0.345,2015-16
1610612752,New York Knicks,27,9,18,0.333,2015-16
1610612760,Oklahoma City Thunder,28,15,13,0.536,2015-16
1610612753,Orlando Magic,30,12,18,0.4,2015-16
1610612755,Philadelphia 76ers,29,2,27,0.069,2015-16
1610612756,Phoenix Suns,28,9,19,0.321,2015-16
1610612757,Portland Trail Blazers,28,17,11,0.607,2015-16
1610612758,Sacramento Kings,29,11,18,0.379,2015-16
1610612759,San Antonio Spurs,29,22,7,0.759,2015-16
1610612761,Toronto Raptors,30,21,9,0.7,2015-16
1610612762,Utah Jazz,30,14,16,0.467,2015-16
1610612764,Washington Wizards,31,18,13,0.581,2015-16
1610612737,Atlanta Hawks,26,11,15,0.423,2016-17
1610612738,Boston Celtics,25,16,9,0.64,2016-17
1610612751,Brooklyn Nets,26,11,15,0.423,2016-17
1610612766,Charlotte Hornets,26,12,14,0.462,2016-17
1610612741,Chicago Bulls,25,13,12,0.52,2016-17
1610612739,Cleveland Cavaliers,27,12,15,0.444,2016-17
1610612742,Dallas Mavericks,26,11,15,0.423,2016-17
1610612743,Denver Nuggets,26,15,11,0.577,2016-17
1610612765,Detroit Pistons,25,10,15,0.4,2016-17
1610612744,Golden State Warriors,26,20,6,0.769,2016-17
1610612745,Houston Rockets,24,15,9,0.625,2016-17
1610612754,Indiana Pacers,25,13,12,0.52,2016-17
1610612746,LA Clippers,26,16,10,0.615,2016-17
1610612747,Los Angeles Lakers,24,7,17,0.292,2016-17
1610612763,Memphis Grizzlies,24,9,15,0.375,2016-17
1610612748,Miami Heat,25,16,9,0.64,2016-17
1610612749,Milwaukee Bucks,27,17,10,0.63,2016-17
1610612750,Minnesota Timberwolves,25,9,16,0.36,2016-17
1610612740,New Orleans Pelicans,25,11,14,0.44,2016-17
1610612752,New York Knicks,25,8,17,0.32,2016-17
1610612760,Oklahoma City Thunder,25,15,10,0.6,2016-17
1610612753,Orlando Magic,24,8,16,0.333,2016-17
1610612755,Philadelphia 76ers,26,7,19,0.269,2016-17
1610612756,Phoenix Suns,25,6,19,0.24,2016-17
1610612757,Portland Trail Blazers,26,18,8,0.692,2016-17
1610612758,Sacramento Kings,25,8,17,0.32,2016-17
1610612759,San Antonio Spurs,26,18,8,0.692,2016-17
1610612761,Toronto Raptors,25,18,7,0.72,2016-17
1610612762,Utah Jazz,25,16,9,0.64,2016-17
1610612764,Washington Wizards,27,15,12,0.556,2016-17
1610612737,Atlanta Hawks,23,6,17,0.261,2017-18
1610612738,Boston Celtics,23,15,8,0.652,2017-18
1610612751,Brooklyn Nets,23,9,14,0.391,2017-18
1610612766,Charlotte Hornets,25,12,13,0.48,2017-18
1610612741,Chicago Bulls,25,7,18,0.28,2017-18
1610612739,Cleveland Cavaliers,26,16,10,0.615,2017-18
1610612742,Dallas Mavericks,24,6,18,0.25,2017-18
1610612743,Denver Nuggets,24,14,10,0.583,2017-18
1610612765,Detroit Pistons,25,11,14,0.44,2017-18
1610612744,Golden State Warriors,24,14,10,0.583,2017-18
1610612745,Houston Rockets,25,21,4,0.84,2017-18
1610612754,Indiana Pacers,24,15,9,0.625,2017-18
1610612746,LA Clippers,26,12,14,0.462,2017-18
1610612747,Los Angeles Lakers,25,12,13,0.48,2017-18
1610612763,Memphis Grizzlies,26,4,22,0.154,2017-18
1610612748,Miami Heat,24,14,10,0.583,2017-18
1610612749,Milwaukee Bucks,25,12,13,0.48,2017-18
1610612750,Minnesota Timberwolves,21,11,10,0.524,2017-18
1610612740,New Orleans Pelicans,25,17,8,0.68,2017-18
1610612752,New York Knicks,23,6,17,0.261,2017-18
1610612760,Oklahoma City Thunder,23,15,8,0.652,2017-18
1610612753,Orlando Magic,25,7,18,0.28,2017-18
1610612755,Philadelphia 76ers,27,22,5,0.815,2017-18
1610612756,Phoenix Suns,23,3,20,0.13,2017-18
1610612757,Portland Trail Blazers,24,17,7,0.708,2017-18
1610612758,Sacramento Kings,25,9,16,0.36,2017-18
1610612759,San Antonio Spurs,23,12,11,0.522,2017-18
1610612761,Toronto Raptors,25,18,7,0.72,2017-18
1610612762,Utah Jazz,24,18,6,0.75,2017-18
1610612764,Washington Wizards,25,10,15,0.4,2017-18
1610612737,Atlanta Hawks,24,10,14,0.417,2018-19
1610612738,Boston Celtics,24,12,12,0.5,2018-19
1610612751,Brooklyn Nets,23,12,11,0.522,2018-19
1610612766,Charlotte Hornets,25,12,13,0.48,2018-19
1610612741,Chicago Bulls,24,8,16,0.333,2018-19
1610612739,Cleveland Cavaliers,24,7,17,0.292,2018-19
1610612742,Dallas Mavericks,25,7,18,0.28,2018-19
1610612743,Denver Nuggets,25,15,10,0.6,2018-19
1610612765,Detroit Pistons,26,15,11,0.577,2018-19
1610612744,Golden State Warriors,25,16,9,0.64,2018-19
1610612745,Houston Rockets,25,20,5,0.8,2018-19
1610612754,Indiana Pacers,24,10,14,0.417,2018-19
1610612746,LA Clippers,23,16,7,0.696,2018-19
1610612747,Los Angeles Lakers,25,9,16,0.36,2018-19
1610612763,Memphis Grizzlies,23,10,13,0.435,2018-19
1610612748,Miami Heat,26,13,13,0.5,2018-19
1610612749,Milwaukee Bucks,25,17,8,0.68,2018-19
1610612750,Minnesota Timberwolves,25,9,16,0.36,2018-19
1610612740,New Orleans Pelicans,23,7,16,0.304,2018-19
1610612752,New York Knicks,24,6,18,0.25,2018-19
1610612760,Oklahoma City Thunder,25,12,13,0.48,2018-19
1610612753,Orlando Magic,23,15,8,0.652,2018-19
1610612755,Philadelphia 76ers,24,14,10,0.583,2018-19
1610612756,Phoenix Suns,23,8,15,0.348,2018-19
1610612757,Portland Trail Blazers,25,19,6,0.76,2018-19
1610612758,Sacramento Kings,25,9,16,0.36,2018-19
1610612759,San Antonio Spurs,23,15,8,0.652,2018-19
